Filename,Dataset,Approach,Model,True Positives,False Positives,False Negatives,Precision,Recall,F1,F2
results-dronology_simple_ollama_llama3.1_8b-instruct-fp16.json_73194d19-b24e-319e-8e6f-cc8f80a68a8e.md,dronology,KISS,ollama_llama3.1_8b-instruct-fp16,151,243,69,0.383248730964467,0.686363636363636,0.49185667752443,0.592621664050235
results-GANNT_no_llm.json_18d3b517-1e76-3ad8-8282-84d41cef1cdf.md,GANNT,IR,only,37,31,31,0.544117647058824,0.544117647058824,0.544117647058824,0.544117647058824
results-GANNT_reasoning_gpt_gpt-4o-2024-08-06.json_e5fa2372-dfa8-3c90-a2ba-aff4f0ce174f.md,GANNT,CoT,gpt_gpt-4o,37,24,31,0.60655737704918,0.544117647058824,0.573643410852713,0.555555555555556
results-GANNT_reasoning_gpt_gpt-4o-mini-2024-07-18.json_576469be-ed03-3ec3-9542-af4279352c74.md,GANNT,CoT,gpt_gpt-4o-mini,37,28,31,0.569230769230769,0.544117647058824,0.556390977443609,0.548961424332344
results-GANNT_reasoning_ollama_codellama_13b.json_f0288730-5d46-3dd8-a086-84c465ff7f88.md,GANNT,CoT,ollama_codellama_13b,35,27,33,0.564516129032258,0.514705882352941,0.538461538461538,0.523952095808383
results-GANNT_reasoning_ollama_llama3.1_8b-instruct-fp16.json_5ddfde02-68bd-3863-814d-3c2cfc57bce1.md,GANNT,CoT,ollama_llama3.1_8b-instruct-fp16,36,27,32,0.571428571428571,0.529411764705882,0.549618320610687,0.537313432835821
results-GANNT_simple_gpt_gpt-4o-2024-08-06.json_a2b67ebd-3aea-38f4-9ad1-3b24071f2895.md,GANNT,KISS,gpt_gpt-4o,37,31,31,0.544117647058824,0.544117647058824,0.544117647058824,0.544117647058824
results-GANNT_simple_gpt_gpt-4o-mini-2024-07-18.json_ef0969c9-97dd-3e31-8011-6e21dfe80496.md,GANNT,KISS,gpt_gpt-4o-mini,37,31,31,0.544117647058824,0.544117647058824,0.544117647058824,0.544117647058824
results-GANNT_simple_ollama_codellama_13b.json_78af1294-12b1-3b13-afbf-9e83a8e9f2a9.md,GANNT,KISS,ollama_codellama_13b,37,31,31,0.544117647058824,0.544117647058824,0.544117647058824,0.544117647058824
results-GANNT_simple_ollama_llama3.1_8b-instruct-fp16.json_ac59925a-30e9-3b5f-830f-eab23ea7de50.md,GANNT,KISS,ollama_llama3.1_8b-instruct-fp16,37,29,31,0.560606060606061,0.544117647058824,0.552238805970149,0.547337278106509
results-ModisDataset_no_llm.json_5a614ac5-c477-3d5c-ac76-8b56d0803102.md,ModisDataset,IR,only,11,65,30,0.144736842105263,0.268292682926829,0.188034188034188,0.229166666666667
results-ModisDataset_reasoning_gpt_gpt-4o-2024-08-06.json_ff5b37a6-4510-3f53-9113-f06934b2eb84.md,ModisDataset,CoT,gpt_gpt-4o,7,7,34,0.5,0.170731707317073,0.254545454545455,0.196629213483146
results-ModisDataset_reasoning_gpt_gpt-4o-mini-2024-07-18.json_de0ec53f-d24c-3378-a648-2ea92645c3f8.md,ModisDataset,CoT,gpt_gpt-4o-mini,10,28,31,0.263157894736842,0.24390243902439,0.253164556962025,0.247524752475248
results-ModisDataset_reasoning_ollama_codellama_13b.json_acb70c3c-b829-3a66-97bd-0858fd44f228.md,ModisDataset,CoT,ollama_codellama_13b,9,50,32,0.152542372881356,0.219512195121951,0.18,0.201793721973094
results-ModisDataset_reasoning_ollama_llama3.1_8b-instruct-fp16.json_18125ce9-7609-3f1a-a56c-34ec63edfcf6.md,ModisDataset,CoT,ollama_llama3.1_8b-instruct-fp16,10,33,31,0.232558139534884,0.24390243902439,0.238095238095238,0.241545893719807
results-ModisDataset_simple_gpt_gpt-4o-2024-08-06.json_239b5128-da2d-379e-be98-c79c2b71637c.md,ModisDataset,KISS,gpt_gpt-4o,11,44,30,0.2,0.268292682926829,0.229166666666667,0.251141552511416
results-ModisDataset_simple_gpt_gpt-4o-mini-2024-07-18.json_49e09fec-48e5-3373-a7d5-641b8dd92682.md,ModisDataset,KISS,gpt_gpt-4o-mini,11,46,30,0.192982456140351,0.268292682926829,0.224489795918367,0.248868778280543
results-ModisDataset_simple_ollama_codellama_13b.json_0eaf6a6b-cb8c-3c81-bb05-70dba15abf94.md,ModisDataset,KISS,ollama_codellama_13b,11,30,30,0.268292682926829,0.268292682926829,0.268292682926829,0.268292682926829
results-ModisDataset_simple_ollama_llama3.1_8b-instruct-fp16.json_d1d1e204-9789-37a9-9174-f97583d3a46b.md,ModisDataset,KISS,ollama_llama3.1_8b-instruct-fp16,11,39,30,0.22,0.268292682926829,0.241758241758242,0.257009345794393
results-WARC_no_llm.json_7d694791-a265-332a-acb9-aa69d510ed1f.md,WARC,IR,only,94,158,42,0.373015873015873,0.691176470588235,0.484536082474227,0.590452261306533
results-WARC_reasoning_gpt_gpt-4o-2024-08-06.json_4aa662a2-6900-3f61-989a-2bde5009668a.md,WARC,CoT,gpt_gpt-4o,87,75,49,0.537037037037037,0.639705882352941,0.583892617449664,0.61614730878187
results-WARC_reasoning_gpt_gpt-4o-mini-2024-07-18.json_2bc1781b-4564-37d4-ac21-baa3bbefa721.md,WARC,CoT,gpt_gpt-4o-mini,89,129,47,0.408256880733945,0.654411764705882,0.502824858757062,0.583989501312336
results-WARC_reasoning_ollama_codellama_13b.json_a10c8c49-2d3c-3b87-a32b-160a1f0d567a.md,WARC,CoT,ollama_codellama_13b,85,125,51,0.404761904761905,0.625,0.491329479768786,0.563660477453581
results-WARC_reasoning_ollama_llama3.1_8b-instruct-fp16.json_6b61be56-0bbf-31b1-b719-72f6760f6271.md,WARC,CoT,ollama_llama3.1_8b-instruct-fp16,87,114,49,0.432835820895522,0.639705882352941,0.516320474777448,0.583892617449664
results-WARC_simple_gpt_gpt-4o-2024-08-06.json_578d51c9-0eef-34c6-8f3a-bd75357a698b.md,WARC,KISS,gpt_gpt-4o,94,149,42,0.386831275720165,0.691176470588235,0.496042216358839,0.59720457433291
results-WARC_simple_gpt_gpt-4o-mini-2024-07-18.json_1de73215-eb76-328e-9e72-f1520ca1fb92.md,WARC,KISS,gpt_gpt-4o-mini,94,158,42,0.373015873015873,0.691176470588235,0.484536082474227,0.590452261306533
results-WARC_simple_ollama_codellama_13b.json_e28af02b-45ba-304f-83ce-40e76c6bf82e.md,WARC,KISS,ollama_codellama_13b,77,103,59,0.427777777777778,0.566176470588235,0.487341772151899,0.531767955801105
results-WARC_simple_ollama_llama3.1_8b-instruct-fp16.json_215f6939-43e7-3312-8fc7-ee7a110bd526.md,WARC,KISS,ollama_llama3.1_8b-instruct-fp16,92,154,44,0.373983739837398,0.676470588235294,0.481675392670157,0.582278481012658
,CCHIT,IR,VSM,,,,,,0.19,0.259
,CM1-NASA,IR,VSM,,,,,,0.429,0.451
,dronology,IR,VSM,,,,,,0.519,0.552
,GANNT,IR,VSM,,,,,,0.344,0.374
,ModisDataset,IR,VSM,,,,,,0.333,0.273
,WARC,IR,VSM,,,,,,0.221,0.303
,CCHIT,IR,LSI,,,,,,0.186,0.203
,CM1-NASA,IR,LSI,,,,,,0.374,0.413
,dronology,IR,LSI,,,,,,0.487,0.503
,GANNT,IR,LSI,,,,,,0.326,0.387
,ModisDataset,IR,LSI,,,,,,0.292,0.307
,WARC,IR,LSI,,,,,,0.165,0.207
